OBJECTID_1,FULLADDR,ADDRNUM,STREETNAME,STREETSUFF
51851,"1215 TAMARACK AVE, UNIT A",1215,TAMARACK,AVE
51852,"1215 TAMARACK AVE, UNIT B",1215,TAMARACK,AVE
52437,"3200 CARBON PL, UNIT S104B",3200,CARBON,PL
52621,"926 MARINE ST, UNIT B",926,MARINE,ST
52622,"920 MARINE ST, UNIT 1",920,MARINE,ST
52623,"920 MARINE ST, UNIT 2",920,MARINE,ST
52624,"920 MARINE ST, UNIT 3",920,MARINE,ST
52625,"920 MARINE ST, UNIT 4",920,MARINE,ST
52626,"902 MARINE ST, UNIT 1",902,MARINE,ST
52627,"902 MARINE ST, UNIT 2",902,MARINE,ST
52628,"902 MARINE ST, UNIT 3",902,MARINE,ST
52997,"5013 VALMONT RD, UNIT A",5013,VALMONT,RD
52998,"5013 VALMONT RD, UNIT B",5013,VALMONT,RD
52999,"5019 VALMONT RD, UNIT A",5019,VALMONT,RD
53000,"5019 VALMONT RD, UNIT B",5019,VALMONT,RD
53001,"5025 VALMONT RD, UNIT B",5025,VALMONT,RD
53002,"5025 VALMONT RD, UNIT A",5025,VALMONT,RD
53003,"5031 VALMONT RD, UNIT A",5031,VALMONT,RD
53004,"5031 VALMONT RD, UNIT B",5031,VALMONT,RD
53005,"5007 VALMONT RD, UNIT B",5007,VALMONT,RD
53006,"5007 VALMONT RD, UNIT A",5007,VALMONT,RD
53007,"5041 VALMONT RD, UNIT A",5041,VALMONT,RD
53008,"5041 VALMONT RD, UNIT B",5041,VALMONT,RD
53009,"5041 VALMONT RD, UNIT C",5041,VALMONT,RD
53010,"5037 VALMONT RD, UNIT C",5037,VALMONT,RD
53011,"5037 VALMONT RD, UNIT B",5037,VALMONT,RD
53012,"5037 VALMONT RD, UNIT A",5037,VALMONT,RD
53013,"5053 VALMONT RD, UNIT A",5053,VALMONT,RD
53014,"5053 VALMONT RD, UNIT B",5053,VALMONT,RD
53015,"5059 VALMONT RD, UNIT A",5059,VALMONT,RD
53016,"5059 VALMONT RD, UNIT B",5059,VALMONT,RD
53017,"5071 VALMONT RD, UNIT A",5071,VALMONT,RD
53018,"5071 VALMONT RD, UNIT B",5071,VALMONT,RD
53019,"5065 VALMONT RD, UNIT A",5065,VALMONT,RD
53020,"5065 VALMONT RD, UNIT B",5065,VALMONT,RD
53021,"5077 VALMONT RD, UNIT A",5077,VALMONT,RD
53022,"5077 VALMONT RD, UNIT B",5077,VALMONT,RD
53023,"5083 VALMONT RD, UNIT A",5083,VALMONT,RD
53024,"5083 VALMONT RD, UNIT B",5083,VALMONT,RD
53025,"5089 VALMONT RD, UNIT A",5089,VALMONT,RD
53026,"5089 VALMONT RD, UNIT B",5089,VALMONT,RD
53027,"5095 VALMONT RD, UNIT B",5095,VALMONT,RD
53028,"5095 VALMONT RD, UNIT A",5095,VALMONT,RD
53034,2530 JUNCTION PL,2530,JUNCTION,PL
53306,"3020 CARBON PL, UNIT 201",3020,CARBON,PL
53462,"3020 CARBON PL, UNIT 205",3020,CARBON,PL
53463,"4560 ARAPAHOE AVE, UNIT A",4560,ARAPAHOE,AVE
53464,"4560 ARAPAHOE AVE, UNIT B",4560,ARAPAHOE,AVE
53465,"4560 ARAPAHOE AVE, UNIT C",4560,ARAPAHOE,AVE
53466,"4560 ARAPAHOE AVE, UNIT D",4560,ARAPAHOE,AVE
53467,"4610 ARAPAHOE AVE, UNIT 1",4560,ARAPAHOE,AVE
53468,"4610 ARAPAHOE AVE, UNIT 2",4560,ARAPAHOE,AVE
53469,"4610 ARAPAHOE AVE, UNIT 3",4560,ARAPAHOE,AVE
53470,"4610 ARAPAHOE AVE, UNIT 4",4560,ARAPAHOE,AVE
53471,"4610 ARAPAHOE AVE, UNIT 5",4560,ARAPAHOE,AVE
53472,"4610 ARAPAHOE AVE, UNIT 6",4560,ARAPAHOE,AVE
53473,"4610 ARAPAHOE AVE, UNIT 7",4560,ARAPAHOE,AVE
53474,"4610 ARAPAHOE AVE, UNIT 8",4560,ARAPAHOE,AVE
53475,"4610 ARAPAHOE AVE, UNIT 9",4560,ARAPAHOE,AVE
53476,"4610 ARAPAHOE AVE, UNIT 10",4560,ARAPAHOE,AVE
53477,"4610 ARAPAHOE AVE, UNIT 11",4560,ARAPAHOE,AVE
53503,"532 ARAPAHOE AVE, UNIT B",532,ARAPAHOE,AVE
53504,"532 ARAPAHOE AVE, UNIT A",532,ARAPAHOE,AVE
53512,"1204 UPLAND AVE, UNIT A",1204,UPLAND,AVE
53513,"1204 UPLAND AVE, UNIT B",1204,UPLAND,AVE
53521,"50 MANHATTAN DR, UNIT A",50,MANHATTAN,DR
53522,"50 MANHATTAN DR, UNIT B",50,MANHATTAN,DR
53636,"949 1/2 MARINE ST, UNIT A",949 1/2,MARINE,ST
53637,"949 1/2 MARINE ST, UNIT B",949 1/2,MARINE,ST
53638,"949 MARINE ST, UNIT A1",949,MARINE,ST
53639,"949 MARINE ST, UNIT A2",949,MARINE,ST
53640,"949 MARINE ST, UNIT B1",949,MARINE,ST
53641,"949 MARINE ST, UNIT B2",949,MARINE,ST
53642,"949 MARINE ST, UNIT B3",949,MARINE,ST
53643,"949 MARINE ST, UNIT B4",949,MARINE,ST
53644,"949 MARINE ST, UNIT C1",949,MARINE,ST
53645,"949 MARINE ST, UNIT C2",949,MARINE,ST
53646,"949 MARINE ST, UNIT C3",949,MARINE,ST
53647,"949 MARINE ST, UNIT C4",949,MARINE,ST
53648,"949 MARINE ST, UNIT D1",949,MARINE,ST
53649,"949 MARINE ST, UNIT D2",949,MARINE,ST
53650,"949 MARINE ST, UNIT D3",949,MARINE,ST
53651,"949 MARINE ST, UNIT D4",949,MARINE,ST
53652,"949 MARINE ST, UNIT C7",949,MARINE,ST
53653,"949 MARINE ST, UNIT C8",949,MARINE,ST
53654,"949 MARINE ST, UNIT D5",949,MARINE,ST
53655,"949 MARINE ST, UNIT D6",949,MARINE,ST
53656,"949 MARINE ST, UNIT D7",949,MARINE,ST
53657,"949 MARINE ST, UNIT D8",949,MARINE,ST
